customer_id;date;age;gender;region;traffic_source;campaign;time_on_site_s;pages_visited;converted;purchase_amount;num_items;delivery_time_days;satisfaction
2295;01.01.2025;30;Male;South;Organic;;373,7;8;1;43;5;9;4
2903;01.01.2025;55;Female;South;PaidAds;CAMP3;1407,9;3;1;294;3;12;5
1922;01.01.2025;21;Female;North;Referral;;493;5;1;81,55;4;14;4
3627;01.01.2025;44;Male;South;Organic;;784,2;13;1;60,45;2;5;3
2605;01.01.2025;22;Male;East;Organic;;1090,9;9;1;45,87;4;1;4
3218;01.01.2025;32;Male;North;Email;;1417,7;6;1;41,92;3;13;5
822;01.01.2025;27;Male;East;Email;;253;4;1;32,4;3;9;5
73;01.01.2025;25;Female;South;Email;;276,1;9;1;23,42;2;4;4
1902;01.01.2025;18;Female;West;Organic;;436;1;1;23,34;5;8;5
4979;01.01.2025;67;Male;East;Organic;;198,9;4;1;20,94;7;9;5
1427;01.01.2025;23;Male;North;Organic;;80,3;6;1;20,31;4;8;5
2633;01.01.2025;36;Female;South;PaidAds;CAMP5;483,7;3;0;0;0;0;
4777;01.01.2025;55;Male;South;Organic;;466,4;7;0;0;0;0;
4412;01.01.2025;58;Male;South;PaidAds;CAMP3;454;3;0;0;0;0;
2328;01.01.2025;39;Female;East;Organic;;180,4;11;0;0;0;0;
4152;01.01.2025;45;Male;North;Organic;;168,2;5;0;0;0;0;
4130;01.01.2025;57;Male;West;PaidAds;CAMP2;131;7;0;0;0;0;
2612;01.01.2025;29;Other;East;Email;;128,2;4;0;0;0;0;
2912;01.01.2025;21;Female;East;Organic;;114,4;2;0;0;0;0;
2715;01.01.2025;25;Male;East;Organic;;88,4;8;0;0;0;0;
209;01.01.2025;25;Female;East;Organic;;88,2;8;0;0;0;0;
4726;01.01.2025;43;Male;East;PaidAds;CAMP4;61,7;7;0;0;0;0;
3318;01.01.2025;55;Female;North;Email;;36,4;8;0;0;0;0;
953;01.02.2025;20;Male;North;Referral;;154,1;4;1;289;2;7;4
1625;01.02.2025;30;Female;South;PaidAds;CAMP5;315,3;2;1;156,98;4;10;3
1863;01.02.2025;44;Female;South;Organic;;550,2;3;1;38,58;1;12;3
318;01.02.2025;21;Male;West;Organic;;944,8;8;1;37,2;2;2;5
2860;01.02.2025;28;Male;South;PaidAds;CAMP3;145,8;4;1;29,49;4;4;4
3592;01.02.2025;31;Female;South;Organic;;518,4;7;1;24,62;5;11;4
4420;01.02.2025;53;Female;East;Email;;476,9;6;1;16,76;3;13;5
4104;01.02.2025;58;Female;East;Organic;;939,6;6;0;0;0;0;
176;01.02.2025;18;Male;North;Referral;;806,4;5;0;0;0;0;
240;01.02.2025;22;Male;East;Organic;;770,5;9;0;0;0;0;
3677;01.02.2025;24;Female;South;PaidAds;CAMP4;682,3;7;0;0;0;0;
2173;01.02.2025;33;Female;East;Referral;;509,9;4;0;0;0;0;
343;01.02.2025;21;Female;North;Organic;;487,1;6;0;0;0;0;
1106;01.02.2025;25;Female;North;PaidAds;CAMP2;457,6;5;0;0;0;0;
1691;01.02.2025;26;Female;West;Organic;;411;4;0;0;0;0;
4316;01.02.2025;52;Male;South;Referral;;338,2;4;0;0;0;0;
2152;01.02.2025;28;Male;South;PaidAds;CAMP4;305;10;0;0;0;0;
1446;01.02.2025;18;Female;East;Organic;;296,6;8;0;0;0;0;
3620;01.02.2025;26;Male;East;Organic;;296,3;3;0;0;0;0;
3799;01.02.2025;57;Female;East;Organic;;286,1;10;0;0;0;0;
1809;01.02.2025;35;Female;South;Email;;269,9;3;0;0;0;0;
1096;01.02.2025;22;Female;South;PaidAds;CAMP3;256,6;8;0;0;0;0;
598;01.02.2025;29;Female;West;Organic;;217;7;0;0;0;0;
388;01.02.2025;23;Female;South;Email;;193,1;7;0;0;0;0;
4511;01.02.2025;41;Male;West;Referral;;187,2;7;0;0;0;0;
603;01.02.2025;27;Male;South;PaidAds;CAMP6;146,7;5;0;0;0;0;
4171;01.02.2025;32;Female;North;Email;;128,1;5;0;0;0;0;
671;01.02.2025;32;Female;East;Organic;;116,3;7;0;0;0;0;
834;01.02.2025;29;Male;South;Organic;;105,6;8;0;0;0;0;
1679;01.02.2025;23;Female;East;PaidAds;CAMP7;90,6;6;0;0;0;0;
3586;01.03.2025;32;Female;East;Organic;;344,7;7;1;157,19;3;11;4
83;01.03.2025;22;Female;West;Organic;;317,7;12;1;96,31;3;5;4
418;01.03.2025;28;Male;East;Organic;;583,6;9;1;91,56;1;4;3
1949;01.03.2025;33;Male;North;PaidAds;CAMP6;447,5;6;1;67,61;7;10;4
3824;01.03.2025;50;Other;East;Organic;;594,3;8;1;45,03;4;9;4
2288;01.03.2025;30;Male;East;Organic;;738,8;11;1;40,79;1;9;3
2881;01.03.2025;28;Female;West;Referral;;318,3;6;1;39,94;3;2;4
3024;01.03.2025;39;Male;East;PaidAds;CAMP1;593,6;6;1;37,02;1;15;4
4047;01.03.2025;53;Male;North;PaidAds;CAMP3;515,7;8;1;35,09;5;8;4
4998;01.03.2025;48;Female;South;Email;;837,2;5;1;16,94;4;12;4
1615;01.03.2025;25;Female;East;Organic;;165;4;1;16,35;3;8;4
4637;01.03.2025;27;Female;South;Email;;693,4;7;0;0;0;0;
4790;01.03.2025;49;Male;North;Referral;;572,1;6;0;0;0;0;
4917;01.03.2025;34;Male;South;Organic;;497,8;7;0;0;0;0;
2070;01.03.2025;39;Male;West;Organic;;335,2;5;0;0;0;0;
4627;01.03.2025;54;Female;North;Organic;;332,2;6;0;0;0;0;
2891;01.03.2025;26;Male;East;PaidAds;CAMP2;248,3;7;0;0;0;0;
584;01.03.2025;31;Female;West;PaidAds;CAMP5;199,9;10;0;0;0;0;
4095;01.03.2025;34;Male;East;Organic;;161;3;0;0;0;0;
4240;01.03.2025;53;Male;North;Organic;;56,4;9;0;0;0;0;
849;01.04.2025;24;Male;South;Organic;;365,7;5;1;204,32;4;4;5
3554;01.04.2025;31;Female;North;Organic;;479,6;7;1;109,36;2;6;3
3457;01.04.2025;38;Male;South;PaidAds;CAMP6;89,1;7;1;80,47;3;7;5
276;01.04.2025;23;Male;East;Referral;;110,7;6;1;75,97;2;14;3
2648;01.04.2025;37;Female;South;Organic;;267,6;2;1;69,04;2;2;3
3164;01.04.2025;32;Male;South;Referral;;324,5;6;1;62,57;4;12;3
2415;01.04.2025;52;Female;South;Referral;;306;8;1;58,74;3;9;3
2988;01.04.2025;26;Male;East;Organic;;387,4;7;1;46,19;2;4;5
2583;01.04.2025;44;Female;North;Organic;;126,5;4;1;43,82;1;15;4
2122;01.04.2025;54;Female;North;Email;;393,6;5;1;43,34;3;15;4
3202;01.04.2025;22;Male;South;Referral;;643;5;1;32,09;3;1;4
4697;01.04.2025;55;Other;North;PaidAds;CAMP4;410,2;7;1;18,82;1;12;4
232;01.04.2025;20;Female;West;Organic;;688,8;5;0;0;0;0;
3881;01.04.2025;45;Male;South;PaidAds;CAMP2;687,4;10;0;0;0;0;
403;01.04.2025;22;Female;East;Organic;;600,8;9;0;0;0;0;
4112;01.04.2025;45;Female;West;Organic;;593,7;5;0;0;0;0;
3734;01.04.2025;29;Female;West;Organic;;527,4;8;0;0;0;0;
148;01.04.2025;23;Female;North;Organic;;526,5;6;0;0;0;0;
351;01.04.2025;18;Male;West;PaidAds;CAMP4;504,4;4;0;0;0;0;
4830;01.04.2025;66;Female;West;Organic;;421,3;7;0;0;0;0;
3662;01.04.2025;28;Male;South;PaidAds;CAMP4;321,7;2;0;0;0;0;
4593;01.04.2025;63;Female;South;Referral;;321,7;6;0;0;0;0;
609;01.04.2025;32;Female;East;PaidAds;CAMP2;311,9;3;0;0;0;0;
3247;01.04.2025;33;Female;North;Referral;;210,6;6;0;0;0;0;
1692;01.04.2025;26;Male;East;Email;;189,4;5;0;0;0;0;
4571;01.04.2025;52;Female;North;PaidAds;CAMP3;175;4;0;0;0;0;
4628;01.04.2025;33;Female;South;PaidAds;CAMP2;147,4;11;0;0;0;0;
744;01.04.2025;28;Male;East;Organic;;139,7;6;0;0;0;0;
2769;01.04.2025;44;Female;North;Organic;;105,6;6;0;0;0;0;
2560;01.04.2025;25;Male;South;PaidAds;CAMP4;74;4;0;0;0;0;
3468;01.05.2025;44;Female;East;Organic;;248;4;1;138,36;2;15;4
548;01.05.2025;25;Female;East;Organic;;520,3;5;1;68,83;2;13;5
4669;01.05.2025;45;Female;East;Email;;150,9;6;1;59,59;4;12;5
1476;01.05.2025;18;Female;East;Organic;;408,5;4;1;57,14;2;3;3
1567;01.05.2025;24;Female;East;PaidAds;CAMP7;699,8;4;1;35,93;4;7;4
882;01.05.2025;25;Female;South;Email;;339,9;8;1;34,77;2;13;4
1496;01.05.2025;31;Female;East;Organic;;533,5;8;1;33,21;2;12;4
4589;01.05.2025;41;Female;East;PaidAds;CAMP1;334,2;5;1;29,75;3;9;4
684;01.05.2025;31;Female;West;PaidAds;CAMP4;991,8;8;1;21,44;2;15;3
895;01.05.2025;23;Female;North;Organic;;448,6;8;1;19,51;3;3;3
2056;01.05.2025;25;Female;East;Email;;1392,3;6;1;17,63;3;1;5
157;01.05.2025;24;Male;South;Organic;;172,4;8;1;16,32;2;1;4
544;01.05.2025;18;Male;East;Referral;;592,4;3;1;16,28;5;7;4
3698;01.05.2025;20;Female;North;Email;;262;6;0;0;0;0;
4475;01.05.2025;49;Male;West;PaidAds;CAMP2;548,4;6;0;0;0;0;
2193;01.05.2025;29;Male;West;Organic;;510,8;4;0;0;0;0;
2346;01.05.2025;41;Male;West;Organic;;474,3;4;0;0;0;0;
3390;01.05.2025;41;Male;North;Organic;;402,4;6;0;0;0;0;
4413;01.05.2025;72;Female;South;Organic;;397;4;0;0;0;0;
3919;01.05.2025;71;Other;South;PaidAds;CAMP4;334,6;5;0;0;0;0;
2126;01.05.2025;44;Female;South;Organic;;320,4;3;0;0;0;0;
597;01.05.2025;24;Male;West;Email;;311,3;8;0;0;0;0;
3029;01.05.2025;26;Male;North;Organic;;269,8;4;0;0;0;0;
2253;01.05.2025;18;Female;North;Referral;;249,1;7;0;0;0;0;
3568;01.05.2025;31;Female;West;PaidAds;CAMP3;224,7;5;0;0;0;0;
4549;01.05.2025;63;Male;East;Organic;;196,1;7;0;0;0;0;
4031;01.05.2025;43;Female;South;PaidAds;CAMP2;161,1;7;0;0;0;0;
1616;01.05.2025;30;Male;South;Email;;159;4;0;0;0;0;
1434;01.05.2025;29;Female;South;PaidAds;CAMP2;157,5;4;0;0;0;0;
2235;01.05.2025;34;Male;North;PaidAds;CAMP3;87,1;9;0;0;0;0;
3330;01.05.2025;37;Female;South;Organic;;14;6;0;0;0;0;
1963;01.06.2025;28;Female;West;Referral;;477,9;8;1;148;4;6;4
1559;01.06.2025;29;Female;South;PaidAds;CAMP3;351,1;4;1;326,22;3;6;5
524;01.06.2025;19;Male;East;Email;;510,5;4;1;94,06;5;5;4
1407;01.06.2025;18;Female;East;Organic;;259,4;5;1;62,43;3;8;4
4728;01.06.2025;58;Female;North;PaidAds;CAMP6;226,2;8;1;47,17;2;6;4
3829;01.06.2025;59;Female;North;PaidAds;CAMP3;875,8;6;1;44,88;5;1;5
4378;01.06.2025;45;Female;East;Email;;385,4;7;1;33,61;4;2;4
